prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,0.7083333333333334,0.631578947368421,1.0,0.7741935483870968,1.0,1.0
5,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0
