prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,0.625,0.5714285714285714,1.0,0.7272727272727273,1.0,1.0
5,0.6666666666666666,0.6,1.0,0.75,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0
