prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,0.7916666666666666,0.7058823529411765,1.0,0.8275862068965517,1.0,1.0
5,0.9166666666666666,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0
15,0.9333333333333333,0.9090909090909091,1.0,0.9523809523809523,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0
