prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,0.5,0.5,1.0,0.6666666666666666,0.7916666666666666,0.7853821015585722
5,0.7083333333333334,0.631578947368421,1.0,0.7741935483870968,0.875,0.884848484848485
10,0.9545454545454546,0.9230769230769231,1.0,0.96,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0,1.0
