prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,0.75,0.6666666666666666,1.0,0.8,0.9375,0.9164724164724165
5,0.75,0.6666666666666666,1.0,0.8,0.8125,0.8366732804232805
10,0.9545454545454546,0.9230769230769231,1.0,0.96,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0,0.9999999999999999
20,1.0,1.0,1.0,1.0,1.0,1.0
