iter	Logloss
0	0.6099038034
1	0.5328837002
2	0.4538093427
3	0.4083762313
4	0.3593991463
5	0.3312908732
6	0.3078377858
7	0.2698061996
8	0.2424559735
9	0.2201180197
10	0.2089016103
11	0.1907070272
12	0.1761718764
13	0.1604362893
14	0.1464769859
15	0.1359347478
16	0.1268848095
17	0.1180654755
18	0.1072000809
19	0.09868191641
20	0.09177096376
21	0.08492918632
22	0.07797954985
23	0.07407077366
24	0.06964073972
25	0.06568609896
26	0.0618209172
27	0.0581968142
28	0.05491662797
29	0.05172012509
30	0.04920639393
31	0.04621824198
32	0.04373531941
33	0.04140787344
34	0.03963686482
35	0.03753955332
36	0.03578309817
37	0.03436289079
38	0.03259303864
39	0.03124632782
40	0.02998301367
41	0.02881159278
42	0.02770760104
43	0.02686819318
44	0.02597511694
45	0.02530647187
46	0.02455883959
47	0.02377804227
48	0.02304714458
49	0.02234171745
50	0.02173425944
51	0.02062937141
52	0.02004439857
53	0.01957318856
54	0.01900789522
55	0.01849314263
56	0.0180456632
57	0.01755788282
58	0.01704706875
59	0.01662626019
60	0.01625518007
61	0.01567114199
62	0.01531460558
63	0.0150407629
64	0.01471272598
65	0.01433579368
66	0.01399944032
67	0.01367717864
68	0.01336312867
69	0.01300490864
70	0.01274450838
71	0.01250886306
72	0.01229958243
73	0.0119410594
74	0.01171008078
75	0.01154658413
76	0.01136083714
77	0.01114885847
78	0.0109504025
79	0.01078084892
80	0.01058065155
81	0.01044284717
82	0.01030294108
83	0.01013083199
84	0.009989617865
85	0.00987262726
86	0.009706339225
87	0.009558175148
88	0.009427131784
89	0.009308730606
90	0.009198915825
91	0.00903668574
92	0.008908791656
93	0.008791413146
94	0.008539215385
95	0.008423660206
96	0.008325898907
97	0.008186700327
98	0.008081966607
99	0.007947398451
100	0.007845900362
101	0.007708864357
102	0.007634452022
103	0.007537936876
104	0.007457218126
105	0.007374166091
106	0.007284594215
107	0.007211025972
108	0.007123653293
109	0.007031488376
110	0.00695303044
111	0.006876015017
112	0.006805800418
113	0.006736259176
114	0.006676679942
115	0.006606087165
116	0.006541138508
117	0.006473334649
118	0.006404017897
119	0.006326644166
120	0.006268646452
121	0.006216048707
122	0.006153145703
123	0.00609227341
124	0.006034494799
125	0.005978333627
126	0.00590551784
127	0.005854344625
128	0.005797609272
129	0.005734211661
130	0.005678014425
131	0.005628099779
132	0.005576803208
133	0.00552549966
134	0.005472093685
135	0.005426072865
136	0.005380421623
137	0.005321091497
138	0.005262927675
139	0.005213587619
140	0.00516423916
141	0.005120060059
142	0.005071708014
143	0.005029448367
144	0.00498885149
145	0.004940560296
146	0.004897860604
147	0.004860386594
148	0.004819537014
149	0.004781740653
150	0.004743037687
151	0.004700876806
152	0.004659528333
153	0.004615518812
154	0.00458114582
155	0.004545904869
156	0.004506670884
157	0.004468177742
158	0.004428530111
159	0.004393990504
160	0.004357419411
161	0.004320247086
162	0.00428717296
163	0.004255234573
164	0.004224530187
165	0.004193740951
166	0.00416554286
167	0.00413394256
168	0.004101456573
169	0.004070428052
170	0.004043375694
171	0.004015858566
172	0.003988606272
173	0.00396171576
174	0.003937529906
175	0.003909456658
176	0.003881219249
177	0.003857572817
178	0.003831456588
179	0.003808205122
180	0.003783337773
181	0.003760995267
182	0.003738508726
183	0.003716999286
184	0.003695847684
185	0.003671419358
186	0.003650365735
187	0.00362999318
188	0.003607163902
189	0.003587570746
190	0.003567731787
191	0.003548150249
192	0.003529296822
193	0.003509799239
194	0.003490354037
195	0.003471506938
196	0.003453113724
197	0.003435292082
198	0.003417504506
199	0.003398411947
200	0.003379452832
201	0.003361530632
202	0.003344030088
203	0.003325200801
204	0.003306926768
205	0.003290230916
206	0.003274163472
207	0.003256097027
208	0.003239552061
209	0.00322364361
210	0.003207382614
211	0.003190594062
212	0.003175695074
213	0.003158848622
214	0.003142401444
215	0.003126748987
216	0.003110501903
217	0.003096229267
218	0.003080166057
219	0.0030652225
220	0.003049692001
221	0.003034664575
222	0.003020670589
223	0.003005193673
224	0.002989924173
225	0.002975864808
226	0.002961529295
227	0.00294806608
228	0.002934202266
229	0.002921272649
230	0.002907250545
231	0.002893480743
232	0.002879821302
233	0.002867307156
234	0.002854135437
235	0.00284117654
236	0.002828271167
237	0.002815628525
238	0.0028024259
239	0.002789833279
240	0.002777067479
241	0.002765064806
242	0.00275266574
243	0.002740292698
244	0.002728073188
245	0.002716513515
246	0.002704215217
247	0.002692971904
248	0.002680389057
249	0.002669467136
250	0.002657961587
251	0.002646765461
252	0.00263548087
253	0.00262452565
254	0.002613743145
255	0.002602570731
256	0.002593270645
257	0.002582176862
258	0.002570727216
259	0.002558997493
260	0.002549464601
261	0.002538342385
262	0.002527880945
263	0.002517644116
264	0.00250700834
265	0.002496327564
266	0.002485466357
267	0.00247592355
268	0.002466067914
269	0.00245597993
270	0.002446238023
271	0.00243595444
272	0.002426290806
273	0.002417068974
274	0.002406886369
275	0.002397882387
276	0.002388457333
277	0.002378751637
278	0.002370206861
279	0.002360153233
280	0.002351360261
281	0.002342174824
282	0.002333336478
283	0.00232429216
284	0.002315486528
285	0.002306734082
286	0.002297927241
287	0.002290379972
288	0.002280257832
289	0.00227231063
290	0.00226415286
291	0.002255303865
292	0.002247059258
293	0.002239028643
294	0.002230670378
295	0.002222028577
296	0.002214649331
297	0.002205661863
298	0.002197970892
299	0.002190509276
