model_name,dataset,threshold,train_sites,validation_sites,test_sites,accuracy,precision,recall,f1,roc_auc,pr_auc
hist_gradient_boosting,generic_multisite_leave_site_out,0.5499999999999999,43,14,15,0.9869386294507068,0.9896701099633456,0.9860557768924303,0.987859637452187,0.9987367822720243,0.9990407820149673
lightgbm,generic_multisite_leave_site_out,0.6,43,14,15,0.9862229379137591,0.9893297765921975,0.9850597609561753,0.9871901513891199,0.999044437951209,0.9992336934878316
random_forest,generic_multisite_leave_site_out,0.49999999999999994,43,14,15,0.9860440150295223,0.988674217188541,0.9853917662682603,0.9870302627203192,0.999196913033418,0.9993529013647798
xgboost,generic_multisite_leave_site_out,0.6,43,14,15,0.9860440150295223,0.989652870493992,0.9843957503320053,0.987017310252996,0.9990890145278413,0.9992623169314667
catboost,generic_multisite_leave_site_out,0.3,43,14,15,0.9856861692610485,0.9812869336835194,0.9923638778220452,0.9867943215582701,0.9992674496684071,0.9994136912828386
extra_trees,generic_multisite_leave_site_out,0.44999999999999996,43,14,15,0.9838969404186796,0.9840954274353877,0.9860557768924303,0.9850746268656716,0.9987505675139309,0.9990262207803708
logistic_regression,generic_multisite_leave_site_out,0.44999999999999996,43,14,15,0.9828234031132582,0.9840637450199203,0.9840637450199203,0.9840637450199203,0.9985261386223312,0.9987389563386387
calibrated_svm,generic_multisite_leave_site_out,0.6,43,14,15,0.9821077115763106,0.9876088412592097,0.9790836653386454,0.9833277759253084,0.9986505923015994,0.9988486298710478
