prefix_len,accuracy,precision,recall,f1,roc_auc
3,0.9722222222222222,0.95,1.0,0.9743589743589743,1.0
5,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,1.0,1.0
