prefix_len,accuracy,precision,recall,f1,roc_auc
3,0.13333333333333333,0.0,0.0,0.0,0.9423076923076923
5,0.13333333333333333,0.0,0.0,0.0,1.0
10,0.46153846153846156,1.0,0.46153846153846156,0.631578947368421,
15,1.0,1.0,1.0,1.0,
20,1.0,1.0,1.0,1.0,
