prefix_len,accuracy,precision,recall,f1,roc_auc
3,0.13333333333333333,0.0,0.0,0.0,1.0
5,0.13333333333333333,0.0,0.0,0.0,1.0
10,1.0,1.0,1.0,1.0,
15,1.0,1.0,1.0,1.0,
20,1.0,1.0,1.0,1.0,
