prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,0.1,0.0,0.0,0.0,0.3333333333333333,0.9333333333333333
5,0.1,0.0,0.0,0.0,0.8333333333333333,0.9765432098765432
10,1.0,1.0,1.0,1.0,,
15,1.0,1.0,1.0,1.0,,
20,1.0,1.0,1.0,1.0,,
