prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,0.6,0.8571428571428571,0.6666666666666666,0.75,0.3333333333333333,0.8714285714285714
5,0.6,0.8571428571428571,0.6666666666666666,0.75,0.4444444444444444,0.9349206349206349
10,1.0,1.0,1.0,1.0,,
15,1.0,1.0,1.0,1.0,,
20,1.0,1.0,1.0,1.0,,
