prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,0.6,0.8571428571428571,0.6666666666666666,0.75,0.6666666666666666,0.9666666666666667
5,0.9,0.9,1.0,0.9473684210526315,0.0,0.7986772486772488
10,1.0,1.0,1.0,1.0,,
15,1.0,1.0,1.0,1.0,,
20,1.0,1.0,1.0,1.0,,
