prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,,
15,1.0,1.0,1.0,1.0,,
20,1.0,1.0,1.0,1.0,,
