prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,0.1,0.0,0.0,0.0,0.0,0.832936507936508
5,0.9,0.9,1.0,0.9473684210526315,0.0,0.795899470899471
10,1.0,1.0,1.0,1.0,,
15,1.0,1.0,1.0,1.0,,
20,1.0,1.0,1.0,1.0,,
