prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
3,0.1,0.0,0.0,0.0,0.0,0.8500000000000001
5,0.1,0.0,0.0,0.0,0.38888888888888884,0.9148148148148147
10,0.6666666666666666,1.0,0.6666666666666666,0.8,,
15,1.0,1.0,1.0,1.0,,
20,1.0,1.0,1.0,1.0,,
